filename,xmin,ymin,xmax,ymax,frame
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,803,355,921,448,10
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,934,346,1100,464,10
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,583,268,712,433,10
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,804,355,921,450,10
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,583,269,712,430,10
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,483,273,570,404,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,483,271,573,406,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,934,347,1100,465,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,803,355,921,448,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,934,346,1100,464,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,583,267,712,433,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,804,355,921,450,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,583,269,712,430,11
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,472,275,586,426,12
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,468,275,586,425,12
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,955,352,1138,476,12
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,770,331,873,405,12
vlc_record_2022_03_12_18h28m44s_Y2Mate_is_Thermal_Imager_on_Car.mp4,587,267,717,429,12
